Date,Close,High,Low,Open,Volume
2015-01-02,24.19260025024414,24.659502293956603,23.754464067072234,24.648437592390618,212818400
2015-01-05,23.51106071472168,24.042134423807454,23.32518584507189,23.96247328303275,257142000
2015-01-06,23.513267517089844,23.772165309183304,23.152579204524255,23.575225789908487,263188400
2015-01-07,23.84298324584961,23.942558834690647,23.610637954237987,23.721278247722207,160423600
2015-01-08,24.75908088684082,24.816614303203295,24.05319538405384,24.170475495010283,237458000
2015-01-09,24.785633087158203,25.06002047662429,24.387327450645735,24.931677361721775,214798000
2015-01-12,24.174898147583008,24.922825738800306,24.075322583368106,24.91618759295084,198603200
2015-01-13,24.389545440673828,24.960449733893075,24.099668425353194,24.657294735965763,268367600
2015-01-14,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000
2015-01-16,23.453521728515625,23.80535863149471,23.278709915973817,23.683653670789532,314053200
2015-01-20,24.0576229095459,24.11294304990514,23.56637979303794,23.862894935009866,199599600
2015-01-21,24.241289138793945,24.57542161180635,23.958048567472943,24.10851943514098,194303600
2015-01-22,24.8719425201416,24.887432096320072,24.27891037922168,24.39840211898583,215185600
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200
2015-01-26,25.026830673217773,25.30564464790185,24.960447519022203,25.168450094718995,222460000
2015-01-27,24.150556564331055,24.88963440186182,24.126215571319666,24.8763564222506,382274800
2015-01-28,25.515853881835938,26.13765323403414,25.515853881835938,26.029224573643976,585908400
2015-01-29,26.310266494750977,26.374438078210424,25.57118833373286,25.739362080445986,337745600
2015-01-30,25.925228118896484,26.553664023772246,25.856630005500925,26.199615507769245,334982000
2015-02-02,26.250511169433594,26.370002869616926,25.68624677706615,26.122169732854424,250956400
2015-02-03,26.254947662353516,26.35230999368526,26.024815599523205,26.221755229478873,207662800
2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
2015-02-05,26.645132064819336,26.70955688169325,26.4918453731228,26.66290308386443,168984800
2015-02-06,26.420759201049805,26.71400223470758,26.31412460021994,26.662906100062138,174826400
2015-02-09,26.596263885498047,26.62292126746555,26.309685165049736,26.336344241916905,155559200
2015-02-10,27.10721778869629,27.1360988800661,26.694013099240877,26.69623341788492,248034000
2015-02-11,27.74257469177246,27.751461049965634,27.213849091024947,27.27382989020448,294247200
2015-02-12,28.09358024597168,28.320178159043575,27.89586342284208,28.004718352510146,297898000
2015-02-13,28.231313705444336,28.27574380069617,27.913633609185215,28.27574380069617,217088800
2015-02-17,28.397930145263672,28.6311923911294,28.195769306193434,28.322396946689228,252609600
2015-02-18,28.595640182495117,28.608968869421037,28.313503879969325,28.353491635646243,179566800
2015-02-19,28.535667419433594,28.664517086594802,28.509010036503504,28.542331765166118,149449600
2015-02-20,28.7689266204834,28.7689266204834,28.446804181843213,28.57343012705251,195793600
2015-02-23,29.546464920043945,29.546464920043945,28.804471802520936,28.884447331881436,283896400
2015-02-24,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
2015-02-25,28.611188888549805,29.235443968047832,28.46901057982743,29.22655591699116,298846800
2015-02-26,28.973308563232422,29.07327713106697,28.126902824541162,28.61119665484146,365150000
2015-02-27,28.537885665893555,29.006630434896266,28.4890115466763,28.880001110615524,248059200
2015-03-02,28.677845001220703,28.94220867411443,28.502344918685864,28.713390437364257,192386800
2015-03-03,28.737821578979492,28.773367007798193,28.455685246153877,28.6489613967314,151265200
2015-03-04,28.555652618408203,28.782250480513657,28.506781893050682,28.680061614131755,126665200
2015-03-05,28.08246421813965,28.60230332521728,27.93806390120728,28.56453758391316,226068400
2015-03-06,28.124671936035156,28.74003724242642,28.049140454377344,28.524547776086454,291368400
